,Scarborough Health Network - Centenary Hospital,Centre For Addiction and Mental Health - Queen Street Site,Sunnybrook Health Sciences Centre - Bayview Campus,Toronto Western Hospital,St. Joseph's Health Centre,Michael Garron Hospital,Etobicoke General Hospital,Humber River Hospital,Scarborough Health Network - General Campus,Scarborough Health Network - Birchmount Hospital,North York General Hospital,Toronto General Hospital,Hospital for Sick Children,Mount Sinai Hospital,Centre For Addiction and Mental Health - College Street Site,St. Michael's Hospital
M1V,9799.306999999999,29477.06700000002,18223.318999999996,27325.049000000006,31759.25600000002,18609.513,29449.893999999986,23117.33,8248.563999999998,4339.126,11275.176,25959.189000000006,25794.364000000005,26016.376000000007,26677.65300000001,25699.266000000007
M2J,14402.29,21507.054000000007,9990.215999999997,19273.65600000001,23698.179000000015,12493.877000000002,23027.133999999987,15101.195,11706.366,5363.601999999999,3259.0409999999997,17907.796000000006,17742.971000000005,17964.983000000007,18626.26000000001,17892.595
M2M,20694.114,19396.814000000002,9374.478999999996,17299.533999999992,21185.574000000004,16206.183000000003,18136.104999999992,12414.172,18081.579000000005,9876.349,6210.678,16033.680999999999,15870.349,16091.5,16488.573999999993,16406.762
M1B,5628.1889999999985,30940.476000000013,22237.431,29570.444000000018,33507.122000000025,21405.590000000007,35235.05999999999,27532.719000000012,10248.989,9693.201000000001,15690.565,27821.515000000014,27539.810000000012,27761.822000000015,28923.048000000017,27162.675000000003
M1E,3598.063,25130.37400000003,18627.066000000003,23760.34200000001,27697.02000000004,15595.487999999992,37083.401,26821.191000000003,5329.563,13791.233000000004,17046.636,22011.41300000001,21729.70800000001,21951.720000000012,23112.946000000014,21352.573000000015
M1G,2871.174,24974.82700000003,17049.562000000005,23424.48900000001,27541.47300000004,15023.777999999993,34026.702,23764.49200000001,3752.059000000001,10597.737000000003,13853.140000000001,21855.866000000013,21574.16100000001,21796.173000000013,22777.09300000001,21197.02600000002
M1J,6115.443000000002,21578.25400000002,14829.922999999992,19808.536000000007,24144.90000000003,11407.824999999997,33793.30100000001,23531.091000000008,2039.463,10990.169000000004,13801.322,18308.17099999999,18026.46599999999,18248.477999999992,19161.14000000001,17800.453000000005
M1M,8832.210000000001,18990.88000000001,15175.427999999989,17620.847999999998,21557.52600000002,9455.993999999999,34634.88199999999,25176.716000000008,4415.474999999999,12671.957999999993,15446.946999999998,15871.918999999993,15590.21399999999,15812.225999999991,16973.451999999997,15213.078999999998
M2K,17302.376,19148.911,7285.439000000003,17087.495999999996,20937.671000000006,13982.973000000004,19903.29499999999,12166.269,14606.452,7716.683999999998,2683.606,15821.643000000002,15658.311000000003,15879.462000000003,16276.535999999996,16048.203000000007
M2L,15235.157,16712.601000000002,4589.146000000002,14554.130999999996,18760.99200000001,11337.027000000002,20748.435999999994,10486.225999999999,12160.646000000002,10210.6,2814.3239999999996,13288.277999999997,13124.945999999998,13346.096999999998,13743.170999999993,13351.910000000005
M4N,19192.481000000007,12637.482000000002,1978.75,10479.012000000002,14685.873000000003,8810.454,19541.362999999994,9279.152999999998,13657.702000000005,14440.425000000003,7419.995000000001,9213.159000000001,9049.827000000003,9270.978000000003,9668.052,9434.69
M4P,20287.961999999992,10736.801999999998,2843.4449999999993,8538.653,12785.193,7491.265000000001,20129.037999999997,10618.358999999999,14508.568000000003,16050.77,9030.339999999998,7271.960999999998,7108.628999999999,7329.779999999999,7727.692999999999,7302.400999999999
