,Scarborough Health Network - Centenary Hospital,Centre For Addiction and Mental Health - Queen Street Site,Sunnybrook Health Sciences Centre - Bayview Campus,Toronto Western Hospital,St. Joseph's Health Centre,Michael Garron Hospital,Etobicoke General Hospital,Humber River Hospital,Scarborough Health Network - General Campus,Scarborough Health Network - Birchmount Hospital,North York General Hospital,Toronto General Hospital,Hospital for Sick Children,Mount Sinai Hospital,Centre For Addiction and Mental Health - College Street Site,St. Michael's Hospital
M6P,0.2851138594704022,0.04801902877196492,0.10843224233478087,0.058355030792511586,0.02403733120414263,0.14165720862222406,0.15119952525841768,0.0679818438535806,0.23616634962317393,0.2090634906890211,0.14829456045292438,0.07530976021567243,0.07593747314849475,0.0731782307115977,0.06417469305654659,0.08589508215000248
M8W,0.37960997470099644,0.1279433601372191,0.20468522767409905,0.14391422880809035,0.09765993844816324,0.23224432714325705,0.14062703826934891,0.13232804118113928,0.3305223900516679,0.30513916411533015,0.24380223941965842,0.16193594103454145,0.16200449699913383,0.1594846725153289,0.15171447936220786,0.17004242269080216
M8X,0.32846252434840456,0.08889789694797758,0.15012048322270694,0.10163315210475911,0.05818511195842327,0.1861252256644337,0.11942798152144447,0.0739966928730318,0.27967255701233384,0.24806952199445295,0.18604401497561934,0.11914689245185177,0.11966103923870905,0.11691804424475864,0.10806079538509399,0.129308220422356
M8Y,0.3240709427505217,0.07533031588262029,0.14888332323468995,0.09023022617597663,0.04387327922870974,0.17783643836331067,0.14260917802353543,0.09105223237063012,0.27500585220256774,0.24979080628718994,0.18893679976612085,0.1082854836400279,0.10853230833838966,0.1058941407020574,0.09761934774037241,0.11734549338855137
M4A,0.12207105690057847,0.13394047674590842,0.059890015150628195,0.11710673167435591,0.16092754669697618,0.03931392735576672,0.2828551661078922,0.17352263116428965,0.07313711669346827,0.07377131355635394,0.06285599616402511,0.10071377688633505,0.10124500579918547,0.10311210145824895,0.10882387171501193,0.09726345446236412
M4B,0.1286569169519731,0.1256503143627606,0.06668239432439839,0.10901939074343601,0.15473503376945316,0.02210793867437284,0.28875873326784307,0.17927302503056552,0.08001900140838586,0.09519150770891047,0.08184254657788903,0.09145376484455933,0.0916828003478552,0.09392813476638447,0.10094559083020298,0.08579186149500147
M4C,0.13876593939826937,0.11768958210423,0.07081835427014264,0.10146795426093179,0.14781907462071292,0.013682562825779405,0.2891756085503027,0.1801706722630374,0.0910501135298717,0.11027871402371285,0.09324144055378134,0.0834869154591297,0.0834982931863077,0.08595104620884107,0.09370671812388684,0.0764180677800502
M9B,0.37039917711290954,0.13155731428176806,0.19126482594471134,0.14484701467451006,0.10027567392288372,0.2294029726337522,0.09571996492346581,0.09864205401564628,0.32181685567659124,0.2864889255781408,0.22405993721058534,0.16246660197508458,0.16295308513183082,0.1602171476828307,0.15140059567989197,0.17250035623683724
M9C,0.3952441478794655,0.15638140274352366,0.21594315029603345,0.16993427275662895,0.12496483957843176,0.2546719207943725,0.09040138974443948,0.11885698076139442,0.3467515781529313,0.30998775690101144,0.24753290499261432,0.18761834553380907,0.18808419513992847,0.1853540718773613,0.17657070568122477,0.1975619187821176
M1S,0.062022466113395625,0.21508100182794848,0.13055741748723618,0.19834281324551448,0.24021561782087583,0.11978569961945779,0.3388846786344962,0.23412256190090114,0.041232986864089695,0.044709774736971256,0.10048781271230786,0.18266248828824272,0.183290398832086,0.18500825933035583,0.19006987450364776,0.1797543735995502
M1T,0.09861023095771727,0.17998137412887213,0.09232811317839038,0.1635232837401192,0.20340933240965225,0.0938191451539562,0.29913726658932716,0.19401193077650294,0.0608776288683042,0.021154960303573563,0.060537097337914784,0.1490475983552315,0.14985008034024086,0.1512691347710187,0.1553618665360786,0.1477270435730073
M1V,0.08364973146242634,0.2231188910994658,0.13433374829995062,0.2067397845740595,0.2458694246792355,0.13540355440243132,0.33034131862879584,0.2291560697773427,0.06886326234416347,0.033720744440469796,0.09614665362298526,0.19240759039458954,0.19321612219506856,0.19462190232971238,0.19860785806023523,0.19105377129066908
M2J,0.14282157499369327,0.15458563486272345,0.06369220761994779,0.13937921361364516,0.1734790273826717,0.09317389019011034,0.25551829371503637,0.15201911564877119,0.10263618714035824,0.04377409608862101,0.018796752932158656,0.1282349939129047,0.12935723824990455,0.13006672530399574,0.13184369056176187,0.13022187381729716
M2M,0.20594203541252415,0.14851338624139562,0.0773014574269783,0.1378705500832377,0.1560951414070445,0.13260601018600277,0.1975349558248163,0.10350351383010406,0.1663393099478055,0.10161436736818065,0.052643314311404205,0.13450122858578956,0.13595393982680118,0.135342352777759,0.13275071907226696,0.14147144263740302
M1B,0.04054187989212697,0.2869552485030808,0.20669845308575624,0.2701218046783157,0.3139230795174234,0.18522403738350718,0.41601089837443384,0.3117943335353137,0.08367341296707691,0.11889496568639756,0.17804461141934852,0.2533473211699952,0.25376446991668367,0.25578492458738344,0.26185297550039843,0.24870805093411982
